Ngành ICB - cấp 1,ROA (%),ROE (%),ROS (%)
Công nghiệp,2.8898926474663402,9.44184234816396,
Công nghệ Thông tin,2.482805247135571,5.574727371564944,-84.29654063448807
Dược phẩm và Y tế,5.817638914099834,7.9072001425829175,8.557035918616487
Dầu khí,3.040167277070456,6.058268687162705,2.68476306548386
Dịch vụ Tiêu dùng,1.5407702125726461,-1.9725499546039253,-35.41134042868596
Hàng Tiêu dùng,1.8771665712206955,11.336388330816245,-15.192717325434817
Nguyên vật liệu,3.063506876475206,11.715426247460403,
Ngân hàng,1.026443861815815,12.040487151225577,
Thực ,2.420993868094236,3.3036854703553717,4.889766639257712
Tiện ích Cộng đồng,5.858330692769046,8.234136861742664,12.725436356595432
Tài chính,2.8244006051937913,10.085179552312656,
Viễn thông,3.918920413718589,6.528572595498097,6.36751469332351
